player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density
AM Kimote,Death,13,8,5,3.125,0.625,0.2,-104.46,77.97,182.43,-0.1085,0.1086,0.2171,118.15,0.4615,0.4087
Mohammad Nawaz,Death,26,7,19,0.987,0.5714,0.5789,-53.12,124.18,177.3,-0.1127,0.1434,0.256,163.0,0.5769,0.2896
S Choden,Death,11,7,4,1.143,0.5714,0.5,-37.17,38.25,75.42,0.011,0.011,0.0,51.76,0.5455,0.5134
XC Bartlett,Death,11,4,7,2.625,0.75,0.2857,-45.96,92.66,138.62,-0.0172,0.1389,0.1561,121.91,0.4545,0.3023
LJ Evans,Death,13,3,10,1.667,0.6667,0.4,-108.65,79.65,188.3,-0.1954,0.0476,0.243,163.23,0.4615,0.2401
R Shepherd,Death,32,6,26,2.708,0.8333,0.3077,-89.75,99.25,189.01,-0.1295,0.1412,0.2708,172.18,0.4062,0.2757
TS Rogers,Death,10,3,7,0.778,0.3333,0.4286,-39.8,88.41,128.21,0.0058,0.1283,0.1225,116.27,0.4,0.3032
AJ Hosein,Death,19,6,13,2.708,0.8333,0.3077,-64.98,100.78,165.75,-0.0208,0.1588,0.1797,145.23,0.4737,0.3219
KKN Egodage,Death,21,4,17,1.062,0.25,0.2353,-71.36,51.07,122.43,-0.1536,0.0,0.1536,108.83,0.2381,0.2995
Tilak Varma,Death,29,3,26,2.167,0.6667,0.3077,-27.93,130.79,158.73,-0.0466,0.146,0.1926,155.84,0.3448,0.1969
PE Kulume,Death,13,6,7,1.167,0.6667,0.5714,-48.98,53.7,102.67,-0.0814,0.0404,0.1218,80.07,0.6154,0.4325
SN Shihepo,Death,14,7,7,1.667,0.7143,0.4286,-47.08,63.66,110.73,-0.0428,0.0545,0.0974,87.2,0.5714,0.4392
M Jansen,Death,12,4,8,3.0,0.75,0.25,-62.94,76.43,139.37,-0.0445,0.1,0.1445,118.39,0.4167,0.3066
Y Daswani,Death,12,5,7,0.7,0.2,0.2857,-39.27,65.6,104.87,-0.0416,0.0286,0.0702,88.51,0.25,0.3235
K Joshi,Death,13,7,6,1.286,0.4286,0.3333,-75.52,59.45,134.98,-0.0979,0.0623,0.1602,94.31,0.3846,0.4579
S Dharnidharka,Death,16,7,9,2.571,0.5714,0.2222,-81.12,49.77,130.89,-0.1285,0.0143,0.1428,95.4,0.375,0.3427
Yasin Patel,Death,10,4,6,0.5,0.25,0.5,1.35,104.02,102.67,0.0363,0.1295,0.0932,103.21,0.4,0.3836
RK Paudel,Death,11,3,8,1.778,0.6667,0.375,-17.64,169.52,187.16,0.036,0.2991,0.2631,182.35,0.4545,0.2329
AR Ramjani,Death,14,3,11,2.2,1.0,0.4545,12.92,177.78,164.86,0.0846,0.2619,0.1773,167.63,0.5714,0.2496
DJ Hawoe,Death,15,4,11,1.65,0.75,0.4545,-65.81,126.04,191.86,-0.0947,0.1781,0.2729,174.31,0.5333,0.3283
IKEG Artawan,Death,17,6,11,0.733,0.3333,0.4545,-22.56,81.53,104.09,-0.0138,0.0976,0.1115,96.12,0.4118,0.4039
Sohail Ahmed,Death,19,3,16,0.0,0.0,0.125,-153.21,45.71,198.92,-0.2471,0.0,0.2471,174.73,0.1053,0.1865
E Sebareme,Death,13,5,8,0.8,0.4,0.5,-32.8,96.15,128.96,-0.0085,0.0902,0.0987,116.34,0.4615,0.3657
